Cell Line Name,Small Molecule Name,Drug Concentration (uM),Time Point (hr),Mean Relative Viability,Mean Apoptosis Fraction
C32,SB590885,0.0032,24,1.0722,0.0901
C32,SB590885,0.0032,48,1.2035,0.0832
C32,SB590885,0.0032,72,1.0978,0.0657
C32,SB590885,0.01,24,1.0475,0.1377
C32,SB590885,0.01,48,1.039,0.1215
C32,SB590885,0.01,72,1.1912,0.0532
C32,SB590885,0.0316,24,1.0901,0.1588
C32,SB590885,0.0316,48,1.0348,0.0893
C32,SB590885,0.0316,72,1.0834,0.0299
C32,SB590885,0.1,24,1.0512,0.1944
C32,SB590885,0.1,48,1.0641,0.077
C32,SB590885,0.1,72,0.7616,0.0807
C32,SB590885,0.316,24,0.9712,0.2246
C32,SB590885,0.316,48,0.8577,0.1894
C32,SB590885,0.316,72,0.436,0.2745
C32,SB590885,1,24,0.8421,0.2404
C32,SB590885,1,48,0.5507,0.3802
C32,SB590885,1,72,0.2758,0.4735
C32,SB590885,3.16,24,0.7788,0.2708
C32,SB590885,3.16,48,0.3996,0.5238
C32,SB590885,3.16,72,0.2092,0.5417
C32,PLX-4720,0.0032,24,0.9798,0.0874
C32,PLX-4720,0.0032,48,1.1088,0.0967
C32,PLX-4720,0.0032,72,0.9573,0.0846
C32,PLX-4720,0.01,24,1.0031,0.1207
C32,PLX-4720,0.01,48,0.905,0.1586
C32,PLX-4720,0.01,72,1.085,0.0849
C32,PLX-4720,0.0316,24,1.0403,0.1193
C32,PLX-4720,0.0316,48,0.9286,0.1583
C32,PLX-4720,0.0316,72,1.0994,0.0684
C32,PLX-4720,0.1,24,1.0076,0.1525
C32,PLX-4720,0.1,48,1.0106,0.1052
C32,PLX-4720,0.1,72,0.9374,0.0354
C32,PLX-4720,0.316,24,0.9421,0.1737
C32,PLX-4720,0.316,48,0.8575,0.1431
C32,PLX-4720,0.316,72,0.5161,0.2146
C32,PLX-4720,1,24,0.8236,0.2452
C32,PLX-4720,1,48,0.4542,0.4653
C32,PLX-4720,1,72,0.1817,0.6192
C32,PLX-4720,3.16,24,0.6928,0.2905
C32,PLX-4720,3.16,48,0.155,0.784
C32,PLX-4720,3.16,72,0.0669,0.8134
C32,AZ-628,0.0032,24,1.0868,0.0886
C32,AZ-628,0.0032,48,1.1683,0.0865
C32,AZ-628,0.0032,72,0.9919,0.0829
C32,AZ-628,0.01,24,1.1216,0.1277
C32,AZ-628,0.01,48,1.1445,0.1033
C32,AZ-628,0.01,72,1.0955,0.0581
C32,AZ-628,0.0316,24,1.0452,0.177
C32,AZ-628,0.0316,48,1.0132,0.0851
C32,AZ-628,0.0316,72,0.9467,0.0379
C32,AZ-628,0.1,24,1.0212,0.2261
C32,AZ-628,0.1,48,0.7935,0.2126
C32,AZ-628,0.1,72,0.4501,0.3008
C32,AZ-628,0.316,24,0.8698,0.2799
C32,AZ-628,0.316,48,0.4277,0.5088
C32,AZ-628,0.316,72,0.1627,0.6758
C32,AZ-628,1,24,0.7571,0.3378
C32,AZ-628,1,48,0.1086,0.8467
C32,AZ-628,1,72,0.0591,0.8863
C32,AZ-628,3.16,24,0.8769,0.2397
C32,AZ-628,3.16,48,0.0749,0.9051
C32,AZ-628,3.16,72,0.0269,0.9414
C32,Selumetinib,0.0032,24,1.0228,0.0878
C32,Selumetinib,0.0032,48,1.2397,0.0773
C32,Selumetinib,0.0032,72,0.8911,0.1032
C32,Selumetinib,0.01,24,1.0245,0.1131
C32,Selumetinib,0.01,48,1.0942,0.0963
