Parameters,True Values,2.50%,Predicted,97.50%,Geweke's Statistic
"$\alpha_{1,1}$",2.036,1.022,1.612,2.819,0
"$\alpha_{1,2}$",2.068,1.033,1.665,2.809,-0.009
"$\alpha_{1,3}$",2.171,1.031,1.685,2.902,-0.459
"$\alpha_{1,4}$",2.243,1.027,1.648,2.704,0.823
"$\alpha_{1,5}$",2.297,1.032,1.71,2.954,0.417
"$\alpha_{1,6}$",2.32,1.032,1.671,2.801,0.565
"$\alpha_{1,7}$",2.416,1.032,1.699,2.805,-1.704
"$\alpha_{2,1}$",2.059,1.039,1.689,2.852,-1.197
"$\alpha_{2,2}$",2.069,1.028,1.645,2.76,0.987
"$\alpha_{2,3}$",2.08,1.034,1.679,2.975,-0.627
"$\alpha_{2,4}$",3.104,1.316,2.368,3.871,-0.305
"$\alpha_{2,5}$",3.239,1.365,2.47,4.15,0.499
"$\alpha_{2,6}$",3.414,1.39,2.479,3.985,-1.549
"$\alpha_{2,7}$",3.54,1.39,2.497,4.03,0.527
"$\alpha_{3,1}$",3.617,1.421,2.57,4.114,0.02
"$\alpha_{3,2}$",3.735,1.441,2.555,4.231,0.417
"$\alpha_{3,3}$",3.474,1.36,2.515,4.191,-1.564
"$\alpha_{3,4}$",3.127,1.356,2.476,4.048,-0.236
"$\alpha_{3,5}$",3.149,1.345,2.409,3.944,-0.883
"$\alpha_{3,6}$",3.291,1.357,2.441,3.992,-0.513
"$\alpha_{3,7}$",4.276,2.106,3.535,5.487,-0.223
"$\alpha_{4,1}$",4.482,2.108,3.556,5.499,-0.351
"$\alpha_{4,2}$",4.711,2.069,3.577,5.418,-0.851
"$\alpha_{4,3}$",4.86,2.257,3.692,5.56,0.796
"$\alpha_{4,4}$",5.032,2.208,3.716,5.608,0.541
"$\alpha_{4,5}$",4.794,2.179,3.675,5.561,0.312
"$\alpha_{4,6}$",4.543,2.217,3.651,5.532,-2.511
"$\alpha_{4,7}$",4.207,2.059,3.474,5.393,-0.857
"$\alpha_{5,1}$",4.36,2.027,3.487,5.309,-0.445
"$\alpha_{5,2}$",4.637,2.135,3.576,5.608,-0.867
"$\alpha_{5,3}$",5.519,3.284,4.975,7.138,-0.357
"$\alpha_{5,4}$",5.779,3.396,5.16,7.377,-1.032
"$\alpha_{5,5}$",6.031,3.418,5.24,7.434,-2.066
"$\alpha_{5,6}$",6.275,3.617,5.321,7.491,0.562
"$\alpha_{5,7}$",6.091,3.471,5.288,7.582,-0.262
"$\alpha_{6,1}$",5.863,3.442,5.2,7.361,0.302
"$\alpha_{6,2}$",5.623,3.413,5.141,7.24,-1.401
"$\alpha_{6,3}$",5.419,3.316,4.992,7.099,-1.551
"$\alpha_{6,4}$",5.706,3.324,5.025,7.129,-1.65
"$\alpha_{6,5}$",6.019,3.512,5.239,7.477,-0.395
"$\alpha_{6,6}$",6.815,4.508,6.53,9.256,-0.647
"$\alpha_{6,7}$",7.099,4.607,6.709,9.184,-1.53
"$\alpha_{7,1}$",7.447,4.724,6.785,9.379,-1.081
"$\alpha_{7,2}$",7.334,4.813,6.882,9.392,0.805
"$\alpha_{7,3}$",7.16,4.77,6.881,9.432,-0.528
"$\alpha_{7,4}$",6.943,4.6,6.759,9.314,-0.34
"$\alpha_{7,5}$",6.834,4.767,6.751,9.156,-1.545
